dose	response	experiment
1.0000000	0	1
0.5000000	-1.481620843	1
0.2500000	-1.342221409	1
0.1250000	-0.247146887	1
0.0625000	-0.721459763	1
0.0312500	-0.597512845	1
0.0156250	-0.667586037	1
0.0078125	-0.120258855	1
0.0039063	-0.577158474	1
0.0019531	19.80097533	1
0.0009766	51.06127506	1
0.0004883	100	1
