response	minus	raw	dose	experiment
0.920121929	29.763	229.763	100	1
0.876315432	28.346	228.346	50	1
0.901665698	29.166	229.166	25	1
0.876222687	28.343	228.343	12.5	1
0.891154612	28.826	228.826	6.25	1
0.771791955	24.965	224.965	3.125	1
0.776120049	25.105	225.105	1.5625	1
90.87977791	2939.67	3139.67	0.78125	1
101.0464714	3268.53	3468.53	0.390625	1
102.4521746	3314	3514	0.1953125	1
97.86563122	3165.64	3365.64	0.09765625	1
100	3234.68	3434.68	0.048828125	1
