time	Fluorescence	conc
20	594.364	100
20	613.731	50
20	603.273	25
20	630.713	12.5
20	650.599	6.25
20	603.833	3.125
20	689.935	1.5625
20	882.18	0.78125
20	864.987	0.390625
20	860.894	0.1953125
20	827.743	0.09765625
20	874.141	0.048828125
40	592.986	100
40	627.246	50
40	617.795	25
40	717.818	12.5
40	728.58	6.25
40	963.283	3.125
40	970.015	1.5625
40	1321.11	0.78125
40	1361.43	0.390625
40	1672.48	0.1953125
40	1521.22	0.09765625
40	1715.26	0.048828125
60	574.869	100
60	595.575	50
60	649.441	25
60	829.975	12.5
60	811.868	6.25
60	1039.34	3.125
60	1059.52	1.5625
60	1147.73	0.78125
60	1322.06	0.390625
60	1636.97	0.1953125
60	1535.15	0.09765625
60	1789.21	0.048828125
80	532.204	100
80	697.128	50
80	680.358	25
80	672.175	12.5
80	662.175	6.25
80	866.691	3.125
80	786.87	1.5625
80	1010.24	0.78125
80	1215.38	0.390625
80	1472.11	0.1953125
80	1704.18	0.09765625
80	1964.59	0.048828125
100	472.175	100
100	557.109	50
100	593.207	25
100	624.686	12.5
100	602.393	6.25
100	711.818	3.125
100	670.398	1.5625
100	864.397	0.78125
100	1062.72	0.390625
100	1433.6	0.1953125
100	1748.37	0.09765625
100	2245.36	0.048828125
120	468.386	100
120	498.444	50
120	456.418	25
120	536.129	12.5
120	542.924	6.25
120	625.998	3.125
120	580.623	1.5625
120	720.626	0.78125
120	930.854	0.390625
120	1518.72	0.1953125
120	1919.8	0.09765625
120	2393.88	0.048828125
140	431.311	100
140	419.796	50
140	456.32	25
140	496.363	12.5
140	567.502	6.25
140	592.385	3.125
140	602.136	1.5625
140	734.441	0.78125
140	932.539	0.390625
140	1626.64	0.1953125
140	2015.58	0.09765625
140	2392.94	0.048828125
160	486.842	100
160	460.514	50
160	478.09	25
160	455.395	12.5
160	439.466	6.25
160	526.841	3.125
160	647.873	1.5625
160	694.392	0.78125
160	1031.6	0.390625
160	1705.59	0.1953125
160	2321.77	0.09765625
160	2914.19	0.048828125
