dose	response	experiment
3.0400000	0	1
1.5200000	23.22070293	1
0.7600000	25.25873934	1
0.3800000	30.17201992	1
0.1900000	29.24192046	1
0.0950000	88.01015944	1
0.0475000	117.2970595	1
0.0237500	106.7862025	1
0.0118750	102.8401969	1
0.0059375	96.39264245	1
0.0029688	87.99691622	1
0.0014844	79.25213665	1
0.0007422	100	1
