dose	response	experiment
	12.0000000	0	1
	6.0000000	0.142212671	1
	3.0000000	0.53811397	1
	1.5000000	0.564908946	1
	0.7500000	0.492806103	1
	0.3750000	0.566503358	1
	0.1875000	0.769923725	1
	0.0937500	0.470882941	1
	0.0468750	0.379780024	1
	0.0234375	0.463840956	1
	0.0117188	0.331549068	1
	0.0058594	100	1
	
