Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_O	30	11	10000000	1.10E+10	3
WHO_P	30	9	1000000	9.00E+08	3
F89	30	11	1000000	1.10E+09	3
AZ-HLR	30	11	1000000	1.10E+09	3
ATCC49226	30	16	1000000	1.60E+09	3
WHO_A	32	5	10000000	5.00E+09	3
WHO_F	32	8	10000000	8.00E+09	3
WHO_G	32	14	10000000	1.40E+10	3
WHO_K	32	15	1000000	1.50E+09	3
WHO_L	32	14	100000	1.40E+08	3
WHO_M	32	22	100000	2.20E+08	3
WHO_N	32	26	10000000	2.60E+10	3
WHO_O	32	9	10000000	9.00E+09	3
WHO_P	32	9	1000000	9.00E+08	3
F89	32	23	1000000	2.30E+09	3
AZ-HLR	32	24	1000000	2.40E+09	3
ATCC49226	32	15	1000000	1.50E+09	3
WHO_A	34	6	10000000	6.00E+09	3
WHO_F	34	6	10000000	6.00E+09	3
WHO_G	34	9	10000000	9.00E+09	3
WHO_K	34	8	1000000	8.00E+08	3
WHO_L	34	4	100000	4.00E+07	3
WHO_M	34	24	100000	2.40E+08	3
WHO_N	34	31	10000000	3.10E+10	3
WHO_O	34	9	10000000	9.00E+09	3
WHO_P	34	8	1000000	8.00E+08	3
F89	34	31	1000000	3.10E+09	3
AZ-HLR	34	20	1000000	2.00E+09	3
ATCC49226	34	23	1000000	2.30E+09	3
WHO_A	36	5	10000000	5.00E+09	3
WHO_F	36	8	10000000	8.00E+09	3
WHO_G	36	14	10000000	1.40E+10	3
WHO_K	36	15	1000000	1.50E+09	3
WHO_L	36	14	100000	1.40E+08	3
WHO_M	36	9	10000000	9.00E+09	3
WHO_N	36	30	10000000	3.00E+10	3
WHO_O	36	6	100000000	6.00E+10	3
WHO_P	36	5	10000000	5.00E+09	3
F89	36	4	1000000	4.00E+08	3
AZ-HLR	36	18	100000	1.80E+08	3
ATCC49226	36	8	1000000	8.00E+08	3
WHO_A	44	34	10000000	3.40E+10	3
WHO_F	44	18	10000000	1.80E+10	3
WHO_G	44	10	100000	1.00E+08	3
WHO_K	44	6	10000	6.00E+06	3
WHO_L	44	24	10000	2.40E+07	3
WHO_M	44	22	10000	2.20E+07	3
WHO_N	44	6	10000000	6.00E+09	3
WHO_O	44	20	1000000	2.00E+09	3
WHO_P	44	12	100000	1.20E+08	3
F89	44	24	1000000	2.40E+09	3
AZ-HLR	44	4	10000	4.00E+06	3
ATCC49226	44	26	100000	2.60E+08	3
WHO_A	46	24	1000000	2.40E+09	3
WHO_F	46	7	10000000	7.00E+09	3
WHO_G	46	12	10000	1.20E+07	3
WHO_K	46	29	100	2.90E+05	3
WHO_L	46	20	10000	2.00E+07	3
WHO_M	46	9	10000	9.00E+06	3
WHO_N	46	8	100000	8.00E+07	3
WHO_O	46	29	100000	2.90E+08	3
WHO_P	46	16	100000	1.60E+08	3
F89	46	9	1000000	9.00E+08	3
AZ-HLR	46	16	1000	1.60E+06	3
ATCC49226	46	5	1000000	5.00E+08	3
WHO_A	48	28	1000000	2.80E+09	3
WHO_F	48	18	10000	1.80E+07	3
WHO_G	48	12	1000	1.20E+06	3
WHO_K	48	6	100	6.00E+04	3
WHO_L	48	30	100000	3.00E+08	3
WHO_M	48	4	10000	4.00E+06	3
WHO_N	48	12	100000	1.20E+08	3
WHO_O	48	4	100000	4.00E+07	3
WHO_P	48	34	10000	3.40E+07	3
F89	48	16	100	1.60E+05	3
AZ-HLR	48	5	1000	5.00E+05	3
ATCC49226	48	4	100000	4.00E+07	3
WHO_A	60	12	100	1.20E+05	3
WHO_F	60	0	1	0.00E+00	3
WHO_G	60	0	1	0.00E+00	3
WHO_K	60	4	1	4.00E+02	3
WHO_L	60	12	1000000	1.20E+09	3
WHO_M	60	26	100	2.60E+05	3
WHO_N	60	18	100000	1.80E+08	3
WHO_O	60	18	100	1.80E+05	3
WHO_P	60	16	1000	1.60E+06	3
F89	60	10	100	1.00E+05	3
AZ-HLR	60	4	100	4.00E+04	3
ATCC49226	60	12	100	1.20E+04	3
