sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	11	10000	1.10E+07	0.048828125	0.002441406	-2
F89_2	11	10000	1.10E+07	0.09765625	0.024414063	-2
F89_3	11	10000	1.10E+07	0.1953125	0.048828125	-2
F89_4	11	10000	1.10E+07	0.390625	0.09765625	-2
F89_5	11	10000	1.10E+07	0.78125	0.1953125	-2
F89_6	11	10000	1.10E+07	1.5625	0.390625	-2
F89_7	11	10000	1.10E+07	3.125	0.78125	-2
F89_8	11	10000	1.10E+07	6.25	1.5625	-2
F89_9	11	10000	1.10E+07	12.5	3.125	-2
F89_10	11	10000	1.10E+07	25	6.25	-2
F89_11	11	10000	1.10E+07	50	12.5	-2
F89_12	11	10000	1.10E+07	100	25	-2
F89_1	16	10000	1.60E+07	0.048828125	0.002441406	0
F89_2	11	10000	1.10E+07	0.09765625	0.024414063	0
F89_3	20	10000	2.00E+07	0.1953125	0.048828125	0
F89_4	11	10000	1.10E+07	0.390625	0.09765625	0
F89_5	11	10000	1.10E+07	0.78125	0.1953125	0
F89_6	13	10000	1.30E+07	1.5625	0.390625	0
F89_7	14	10000	1.40E+07	3.125	0.78125	0
F89_8	16	10000	1.60E+07	6.25	1.5625	0
F89_9	15	10000	1.50E+07	12.5	3.125	0
F89_10	15	10000	1.50E+07	25	6.25	0
F89_11	13	10000	1.30E+07	50	12.5	0
F89_12	13	10000	1.30E+07	100	25	0
F89_1	17	10000	1.70E+07	0.048828125	0.002441406	1
F89_2	16	10000	1.60E+07	0.09765625	0.024414063	1
F89_3	8	10000	8.00E+06	0.1953125	0.048828125	1
F89_4	12	10000	1.20E+07	0.390625	0.09765625	1
F89_5	11	10000	1.10E+07	0.78125	0.1953125	1
F89_6	15	10000	1.50E+07	1.5625	0.390625	1
F89_7	13	10000	1.30E+07	3.125	0.78125	1
F89_8	8	10000	8.00E+06	6.25	1.5625	1
F89_9	10	10000	1.00E+07	12.5	3.125	1
F89_10	12	10000	1.20E+07	25	6.25	1
F89_11	6	10000	6.00E+06	50	12.5	1
F89_12	7	10000	7.00E+06	100	25	1
F89_1	22	10000	2.20E+07	0.048828125	0.002441406	2
F89_2	19	10000	1.90E+07	0.09765625	0.024414063	2
F89_3	24	10000	2.40E+07	0.1953125	0.048828125	2
F89_4	14	10000	1.40E+07	0.390625	0.09765625	2
F89_5	16	10000	1.60E+07	0.78125	0.1953125	2
F89_6	4	10000	4.00E+06	1.5625	0.390625	2
F89_7	16	10000	1.60E+07	3.125	0.78125	2
F89_8	8	10000	8.00E+06	6.25	1.5625	2
F89_9	8	10000	8.00E+06	12.5	3.125	2
F89_10	5	10000	5.00E+06	25	6.25	2
F89_11	4	10000	4.00E+06	50	12.5	2
F89_12	2	10000	2.00E+06	100	25	2
F89_1	10	100000	1.00E+08	0.048828125	0.002441406	3
F89_2	15	100000	1.50E+08	0.09765625	0.024414063	3
F89_3	6	100000	6.00E+07	0.1953125	0.048828125	3
F89_4	8	100000	8.00E+07	0.390625	0.09765625	3
F89_5	23	10000	2.30E+07	0.78125	0.1953125	3
F89_6	11	10000	1.10E+07	1.5625	0.390625	3
F89_7	13	10000	1.30E+07	3.125	0.78125	3
F89_8	4	10000	4.00E+06	6.25	1.5625	3
F89_9	10	1000	1.00E+06	12.5	3.125	3
F89_10	2	1000	2.00E+05	25	6.25	3
F89_11	6	100	6.00E+04	50	12.5	3
F89_12	6	10	6.00E+03	100	25	3
F89_1	21	100000	2.10E+08	0.048828125	0.002441406	4
F89_2	19	100000	1.90E+08	0.09765625	0.024414063	4
F89_3	11	100000	1.10E+08	0.1953125	0.048828125	4
F89_4	11	100000	1.10E+08	0.390625	0.09765625	4
F89_5	18	100000	1.80E+08	0.78125	0.1953125	4
F89_6	9	100000	9.00E+07	1.5625	0.390625	4
F89_7	18	10000	1.80E+07	3.125	0.78125	4
F89_8	9	10000	9.00E+06	6.25	1.5625	4
F89_9	6	10000	6.00E+06	12.5	3.125	4
F89_10	4	10000	4.00E+06	25	6.25	4
F89_11	4	10000	4.00E+06	50	12.5	4
F89_12	2	10	2.00E+03	100	25	4
F89_1	24	100000	2.40E+08	0.048828125	0.002441406	5
F89_2	11	100000	1.10E+08	0.09765625	0.024414063	5
F89_3	15	100000	1.50E+08	0.1953125	0.048828125	5
F89_4	6	100000	6.00E+07	0.390625	0.09765625	5
F89_5	4	100000	4.00E+07	0.78125	0.1953125	5
F89_6	14	1000	1.40E+06	1.5625	0.390625	5
F89_7	8	1000	8.00E+05	3.125	0.78125	5
F89_8	4	1000	4.00E+05	6.25	1.5625	5
F89_9	4	1000	4.00E+05	12.5	3.125	5
F89_10	4	1000	4.00E+05	25	6.25	5
F89_11	5	1000	5.00E+05	50	12.5	5
F89_12	24	1	2.40E+03	100	25	5
F89_1	4	1000000	4.00E+08	0.048828125	0.002441406	6
F89_2	6	1000000	6.00E+08	0.09765625	0.024414063	6
F89_3	8	1000000	8.00E+08	0.1953125	0.048828125	6
F89_4	8	1000000	8.00E+08	0.390625	0.09765625	6
F89_5	6	100000	6.00E+07	0.78125	0.1953125	6
F89_6	12	10000	1.20E+07	1.5625	0.390625	6
F89_7	9	10000	9.00E+06	3.125	0.78125	6
F89_8	4	100	4.00E+04	6.25	1.5625	6
F89_9	4	100	4.00E+04	12.5	3.125	6
F89_10	3	100	3.00E+04	25	6.25	6
F89_11	3	100	3.00E+04	50	12.5	6
F89_12	2	10	2.00E+03	100	25	6
