sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	24	100	2.40E+05	0.048828125	0.002441406	-2
F89_2	24	100	2.40E+05	0.09765625	0.024414063	-2
F89_3	24	100	2.40E+05	0.1953125	0.048828125	-2
F89_4	24	100	2.40E+05	0.390625	0.09765625	-2
F89_5	24	100	2.40E+05	0.78125	0.1953125	-2
F89_6	24	100	2.40E+05	1.5625	0.390625	-2
F89_7	24	100	2.40E+05	3.125	0.78125	-2
F89_8	24	100	2.40E+05	6.25	1.5625	-2
F89_9	24	100	2.40E+05	12.5	3.125	-2
F89_10	24	100	2.40E+05	25	6.25	-2
F89_11	24	100	2.40E+05	50	12.5	-2
F89_12	24	100	2.40E+05	100	25	-2
F89_1	7	1000	7.00E+05	0.048828125	0.002441406	0
F89_2	5	1000	5.00E+05	0.09765625	0.024414063	0
F89_3	5	1000	5.00E+05	0.1953125	0.048828125	0
F89_4	5	1000	5.00E+05	0.390625	0.09765625	0
F89_5	6	1000	6.00E+05	0.78125	0.1953125	0
F89_6	7	1000	7.00E+05	1.5625	0.390625	0
F89_7	5	1000	5.00E+05	3.125	0.78125	0
F89_8	6	1000	6.00E+05	6.25	1.5625	0
F89_9	5	1000	5.00E+05	12.5	3.125	0
F89_10	5	1000	5.00E+05	25	6.25	0
F89_11	7	1000	7.00E+05	50	12.5	0
F89_12	8	1000	8.00E+05	100	25	0
F89_1	8	1000	8.00E+05	0.048828125	0.002441406	1
F89_2	6	1000	6.00E+05	0.09765625	0.024414063	1
F89_3	12	1000	1.20E+06	0.1953125	0.048828125	1
F89_4	7	1000	7.00E+05	0.390625	0.09765625	1
F89_5	7	1000	7.00E+05	0.78125	0.1953125	1
F89_6	6	1000	6.00E+05	1.5625	0.390625	1
F89_7	8	1000	8.00E+05	3.125	0.78125	1
F89_8	5	1000	5.00E+05	6.25	1.5625	1
F89_9	2	1000	2.00E+05	12.5	3.125	1
F89_10	3	1000	3.00E+05	25	6.25	1
F89_11	3	1000	3.00E+05	50	12.5	1
F89_12	31	100	8.00E+04	100	25	1
F89_1	16	1000	8.00E+05	0.048828125	0.002441406	2
F89_2	10	1000	6.00E+05	0.09765625	0.024414063	2
F89_3	12	1000	1.20E+06	0.1953125	0.048828125	2
F89_4	9	1000	7.00E+05	0.390625	0.09765625	2
F89_5	9	1000	7.00E+05	0.78125	0.1953125	2
F89_6	7	1000	6.00E+05	1.5625	0.390625	2
F89_7	34	100	8.00E+04	3.125	0.78125	2
F89_8	24	100	5.00E+04	6.25	1.5625	2
F89_9	13	100	2.00E+04	12.5	3.125	2
F89_10	8	100	3.00E+04	25	6.25	2
F89_11	9	100	3.00E+04	50	12.5	2
F89_12	5	100	5.00E+04	100	25	2
F89_1	24	1000	2.40E+06	0.048828125	0.002441406	3
F89_2	12	1000	1.20E+06	0.09765625	0.024414063	3
F89_3	7	1000	7.00E+05	0.1953125	0.048828125	3
F89_4	4	1000	4.00E+05	0.390625	0.09765625	3
F89_5	5	1000	5.00E+05	0.78125	0.1953125	3
F89_6	3	1000	3.00E+05	1.5625	0.390625	3
F89_7	15	100	1.50E+05	3.125	0.78125	3
F89_8	6	100	6.00E+04	6.25	1.5625	3
F89_9	3	100	3.00E+04	12.5	3.125	3
F89_10	1	100	1.00E+04	25	6.25	3
F89_11	0	100	0.00E+00	50	12.5	3
F89_12	0	1	0.00E+00	100	25	3
F89_1	4	10000	4.00E+06	0.048828125	0.002441406	4
F89_2	15	1000	1.50E+06	0.09765625	0.024414063	4
F89_3	12	1000	1.20E+06	0.1953125	0.048828125	4
F89_4	4	1000	4.00E+05	0.390625	0.09765625	4
F89_5	2	1000	2.00E+05	0.78125	0.1953125	4
F89_6	15	100	1.50E+05	1.5625	0.390625	4
F89_7	4	10	4.00E+03	3.125	0.78125	4
F89_8	4	10	4.00E+03	6.25	1.5625	4
F89_9	3	1	3.00E+02	12.5	3.125	4
F89_10	0	1	0.00E+00	25	6.25	4
F89_11	0	1	0.00E+00	50	12.5	4
F89_12	0	1	0.00E+00	100	25	4
F89_1	5	100000	5.00E+07	0.048828125	0.002441406	5
F89_2	13	1000	1.30E+06	0.09765625	0.024414063	5
F89_3	8	1000	8.00E+05	0.1953125	0.048828125	5
F89_4	24	100	2.40E+05	0.390625	0.09765625	5
F89_5	24	100	2.40E+05	0.78125	0.1953125	5
F89_6	28	10	2.80E+04	1.5625	0.390625	5
F89_7	9	1	9.00E+02	3.125	0.78125	5
F89_8	4	1	4.00E+02	6.25	1.5625	5
F89_9	0	1	0.00E+00	12.5	3.125	5
F89_10	0	1	0.00E+00	25	6.25	5
F89_11	0	1	0.00E+00	50	12.5	5
F89_12	0	1	0.00E+00	100	25	5
F89_1	8	100000	8.00E+07	0.048828125	0.002441406	6
F89_2	6	1000	6.00E+05	0.09765625	0.024414063	6
F89_3	10	1000	1.00E+06	0.1953125	0.048828125	6
F89_4	18	100	1.80E+05	0.390625	0.09765625	6
F89_5	8	100	8.00E+04	0.78125	0.1953125	6
F89_6	14	10	1.40E+04	1.5625	0.390625	6
F89_7	40	1	4.00E+03	3.125	0.78125	6
F89_8	17	1	1.70E+03	6.25	1.5625	6
F89_9	4	1	4.00E+02	12.5	3.125	6
F89_10	0	1	0.00E+00	25	6.25	6
F89_11	0	1	0.00E+00	50	12.5	6
F89_12	0	1	0.00E+00	100	25	6
